Code,Party,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename
AFG,Afghanistan,Afghanistan First NDC,NDC,English,1,Active,2016-11-23,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_AFG_20150927_FINAL.pdf,INDC_AFG_20150927_FINAL.pdf
ALB,Albania,Albania First NDC (Archived),NDC,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Albania%20First.pdf,Albania First.pdf
ALB,Albania,Albania First NDC (Updated submission),NDC,English,2,Active,2021-10-12,https://unfccc.int/sites/default/files/2022-08/Albania%20Revised%20NDC.pdf,Albania Revised NDC.pdf
DZA,Algeria,Algeria First NDC,NDC,French,1,Active,2016-10-20,https://unfccc.int/sites/default/files/NDC/2022-06/Alg%C3%A9rie%20-INDC-%2003%20septembre%202015.pdf,Algérie -INDC- 03 septembre 2015.pdf
DZA,Algeria,Algeria First NDC Translation,Translation,English,1,Active,2016-10-20,https://unfccc.int/sites/default/files/NDC/2022-06/Algeria%20-%20INDC%20%28English%20unofficial%20translation%29%20September%2003%2C2015.pdf,"Algeria - INDC (English unofficial translation) September 03,2015.pdf"
AND,Andorra,Andorra 2022 NDC Update (Draft),Addendum,Spanish,3,Active,,https://unfccc.int/sites/default/files/NDC/2022-11/20222410_Actualitzacio%20NDC.pdf,20222410_Actualitzacio NDC.pdf
AND,Andorra,Andorra Third NDC,NDC,Spanish,,Active,2025-02-05,https://unfccc.int/sites/default/files/2025-02/NDC%203.0%20ANDORRA.pdf,NDC 3.0 ANDORRA.pdf
AND,Andorra,Andorra First NDC (Archived),NDC,French,1,Archived,2017-03-24,https://unfccc.int/sites/default/files/NDC/2022-06/Andorra%20INDC-CPDN.pdf,Andorra INDC-CPDN.pdf
AND,Andorra,Andorra First NDC (Updated submission),NDC,Spanish,2,Archived,2020-05-20,https://unfccc.int/sites/default/files/NDC/2022-06/20200514-%20Actualitzaci%C3%B3%20NDC.pdf,20200514- Actualització NDC.pdf
AND,Andorra,Andorra 2022 NDC Update,NDC,Spanish,3,Active,2022-11-08,https://unfccc.int/sites/default/files/NDC/2023-01/221125_Actualizaci%C3%B3n_NDC_DEF.pdf,221125_Actualización_NDC_DEF.pdf
AGO,Angola,Angola NDC 3.0,NDC,English,,Active,2025-09-13,https://unfccc.int/sites/default/files/2025-09/Angola%20NDC_September2025_Upload.pdf,Angola NDC_September2025_Upload.pdf
AGO,Angola,Angola First NDC (Archived),NDC,English,1,Archived,2020-11-16,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Angola%20deposito.pdf,INDC Angola deposito.pdf
AGO,Angola,Angola First NDC (Updated submission),NDC,English,2,Active,2021-05-31,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Angola.pdf,NDC Angola.pdf
ATG,Antigua and Barbuda,Antigua and Barbuda First NDC (Archived),NDC,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Antigua%20and%20Barbuda%20First.pdf,Antigua and Barbuda First.pdf
ATG,Antigua and Barbuda,Antigua and Barbuda First NDC (Updated submission),NDC,English,2,Active,2021-09-02,https://unfccc.int/sites/default/files/NDC/2022-06/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf,ATG - UNFCCC NDC - 2021-09-02 - Final.pdf
